thick_elmer,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope,averaged_slope,gradxmean,gradymean,gradzmean,normalstress,projvector,date,sigma_plus_tau_b,velocity,altitude,thickness,obs_tau_b,obs_u_def,obs_u_bed
,,,,,,,,,,,,,,1982.0,,135.7745631348783,2405.2,295.87999999999965,0.11623196464925108,34.0604080252986,101.71415510957969
,,,,,,,,,,,,,,1983.0,,137.5331732275243,2405.3,295.98,0.11627280255554266,34.114314829614734,103.41885839790956
,,,,,,,,,,,,,,1984.0,,128.08843084719553,2405.4,296.0799999999999,0.11631364046183407,34.168276300596474,93.92015454659905
,,,,,,,,,,,,,,1985.0,,131.82672298536664,2405.8,296.48,0.11647699208699985,34.384669590282705,97.44205339508395
,,,,,,,,,,,,,,1986.0,,133.58865216121495,,,,,
,,,,,,,,,,,,,,1987.0,,129.00035294810286,2404.7,295.37999999999965,0.11602777511779389,33.7916927114816,95.20866023662126
,,,,,,,,,,,,,,1988.0,,126.36991101089616,2403.7,294.37999999999965,0.1156193960548795,33.258340875593476,93.11157013530269
,,,,,,,,,,,,,,1989.0,,125.50513671432982,2402.8,293.48,0.1152518548982567,32.78294888175241,92.72218783257742
,,,,,,,,,,,,,,1990.0,,124.7611041560211,2400.9,291.5799999999999,0.11447593467871935,31.793607883126917,92.96749627289418
,,,,,,,,,,,,,,1991.0,,118.34501410607491,2399.9,290.5799999999999,0.11406755561580498,31.280610709591834,87.06440339648307
,,,,,,,,,,,,,,1992.0,,111.2030525492778,2398.5,289.17999999999984,0.11349582492772481,30.57125851258745,80.63179403669035
,,,,,,,,,,,,,,1993.0,,114.49852947904944,2399.0,289.67999999999984,0.113700014459182,30.823419301345318,83.67511017770411
,,,,,,,,,,,,,,1994.0,,109.46798378952444,2397.2,287.87999999999965,0.11296493214593603,29.921734702852177,79.54624908667226
,,,,,,,,,,,,,,1995.0,,101.3207500188069,2397.5,288.17999999999984,0.11308744586481043,30.070846202433216,71.24990381637369
,,,,,,,,,,,,,,1996.0,,,2397.0,287.67999999999984,0.11288325633335324,29.822585673945902,
,,,,,,,,,,,,,,1997.0,,106.52584958129246,2397.3,287.98,0.11300577005222762,29.971386772615062,76.5544628086774
238.99474936708862,26.308805205451584,55.53368057095411,0.181188943939442,0.11217990179234852,0.10307210314033355,29.224875365502527,0.080839968436214,0.08632815721517838,-0.07511550632911393,0.030340189873417724,-0.006562866412634193,2.12497246835443,0.040798615197927324,1998.0,0.21525200493268207,96.24560692921236,2395.0,285.67999999999984,0.11206649820752447,28.84240968521214,67.40319724400021
,,,,,,,,,,,,,,1999.0,,99.31232157572428,2394.8,285.48,0.11198482239494167,28.745517219310756,70.56680435641353
,,,,,,,,,,,,,,2000.0,,95.7120379629142,2393.7,284.37999999999965,0.1115356054257357,28.216237284907912,67.49580067800628
,,,,,,,,,,,,,,2001.0,,95.31047959010915,2393.5,284.17999999999984,0.1114539296131529,28.12066200869487,67.18981758141427
,,,,,,,,,,,,,,2002.0,,95.94857142857144,2393.9,284.5799999999999,0.1116172812383187,28.312014423772773,67.63655700479868
233.64525664556962,24.254456944578216,50.335460045181556,0.1819498793387851,0.10910169310779458,0.09907316864456492,26.08100310060334,0.09761951315225666,0.08865666698264806,-0.07342025316455697,0.028012974683544304,-0.006175260325368531,2.073964873417722,0.04040577372628248,2003.0,0.2081748617523595,91.6796867866433,2391.1,281.77999999999975,0.11047381986215835,26.989400865338858,64.69028592130445
,,,,,,,,,,,,,,2004.0,,87.50021545118543,2389.5,280.17999999999984,0.10982041336149538,26.25111199789545,61.249103453289976
,,,,,,,,,,,,,,2005.0,,,2387.6,278.27999999999975,0.10904449314195802,25.3906702992371,
,,,,,,,,,,,,,,2006.0,,,2385.2,275.87999999999965,0.10806438339096347,24.328702088918583,
