dist,z_bed,z_surf_1932,z_surf_1956,z_surf_1967,z_surf_1982,z_surf_1991,z_surf_2004,z_surf_2008,z_surf_2012,z_surf_2017,z_surf_2020
2452.2950891373875,3151.8394002564687,3246.716246393875,3244.2641825855976,3245.654115770321,3248.5295608386414,3239.5389910344356,3233.713167689166,3232.304895918582,3228.255171586997,3228.163327623434,3225.5676165665072
2513.160213831234,3134.048896280804,3243.4268815077285,3239.007154756066,3242.590215337291,3244.622277890653,3235.9067431067756,3230.122265995214,3228.640425469398,3224.4242084347406,3224.668039800136,3222.3734746516984
2572.093359612263,3126.5130881839964,3241.3681087568366,3235.8450120944253,3239.3528514142727,3241.587434966309,3232.9297617673437,3227.4303398034717,3225.714817491661,3221.688890690077,3221.9484466659596,3219.68658495841
2629.2115800465863,3131.9841635515027,3235.4799999999996,3231.02,3234.69,3235.7499999999995,3228.84,3223.64,3221.07,3216.0899999999997,3218.2641289970616,3215.854568391228
2684.6313422793346,3149.906310475256,3230.43384860354,3221.864854206101,3229.0142202299453,3230.667824820907,3222.7519622141426,3216.5690470034815,3215.0676292478074,3211.485683225678,3211.622446532917,3209.980424578617
2738.4681288728693,3143.776475735882,3223.379306408214,3214.536995046302,3222.2194577176097,3225.060473141868,3215.6039944725226,3208.4517976931866,3208.5010558677695,3202.742113301275,3204.134527215222,3203.643209202516
2790.835996848602,3121.0053758875442,3214.3447979798602,3209.8253787879185,3212.6762121212446,3213.297020202077,3203.7002272728078,3198.813712121288,3200.157348484901,3194.3376767677237,3195.357094663913,3196.2297459484744
2841.84710032169,3086.665948386163,3202.980260274438,3196.1911025500103,3202.5380525773544,3198.6547330470985,3192.117604261837,3189.5660379138394,3188.6172277544256,3185.1589740204877,3185.807729360677,3184.210329495343
2891.6111858368527,3062.899472466943,3189.477133515104,3180.1790504859955,3189.9983535776296,3187.6844969488957,3182.5001285456797,3177.594720304377,3172.647056648184,3171.454776727206,3170.016044148551,3171.377245627394
2940.235072109831,3051.579740419181,3170.4879428578406,3164.5466716122473,3166.946052163185,3174.0331297590997,3160.1681820082413,3163.016994749786,3156.0940613866455,3156.4423261362763,3151.887720317075,3157.8545986326862
2987.822128064723,3043.0727033216035,3154.818037999338,3155.642309359696,3155.322655706222,3161.2064437959666,3143.7568499035488,3147.696494288898,3144.3143086925506,3142.4877372375217,3143.223296702625,3140.840706266915
3034.4717646048166,3035.908859543228,3142.2698823174433,3138.886994733512,3143.293181795487,3137.1853683561158,3133.87691810429,3133.121140127785,3127.1241015323108,3125.98471369815,3125.126763681519,3123.6522056393665
3080.2789562535227,3027.2765481230163,3133.7559730563976,3131.6212287129397,3133.816731564199,3131.9109289462376,3124.1422793340275,3123.681317883602,3119.6301519625117,3115.0015622166948,3114.6789859124337,3111.9954441570208
3125.333808501256,3021.5713094586254,3122.188688150586,3120.8960114590896,3122.7495473547597,3124.503276605137,3114.5133693039315,3112.1140993717113,3109.1710490628802,3104.150567328042,3103.053562547948,3099.712937269476
3169.7211853628482,3018.280323018931,3110.0,3107.8999999999996,3108.81,3111.44,3102.27,3099.72,3095.02,3089.2800000000007,3090.2518335516397,3087.531307449071
3213.520409422147,3015.519683609691,3102.268910471273,3098.6571636756835,3099.1522452259524,3104.012642526199,3093.248490535898,3089.226033695875,3085.856754664937,3080.3907068502494,3078.3451792507894,3076.5002461548193
3256.8050436556537,3012.7875222696193,3092.863246515327,3087.9353894160495,3090.3126584555957,3095.3474587191013,3082.426279547937,3078.7305709602997,3075.3528697550114,3069.5514064781905,3066.489432979107,3064.091408904886
3299.64276090814,3009.310986256044,3082.4731367218387,3078.1161158554287,3080.3584294541183,3086.3581332181698,3072.4292960513267,3068.45553671874,3063.360275312283,3057.2671276179058,3056.159582135548,3053.693976441027
3342.095303350974,3005.8797171052724,3071.62834972181,3069.0776507834967,3071.902206717255,3077.3078976864635,3065.2433910139944,3059.4083298046066,3055.7230535148824,3047.6160764314645,3047.5927679581487,3044.5255304827033
3384.218530859105,3002.186465556868,3061.3068084589754,3059.589942851791,3063.6489636488827,3068.9668909466486,3057.702259849351,3049.430647500482,3043.870761796899,3036.209844459746,3035.0122251716507,3033.627717943149
3426.0625543152796,2998.4646244661362,3055.4020797611856,3049.296275639793,3053.1467481964687,3059.7823312969067,3048.310182630512,3038.8298658859558,3032.9912120036934,3026.0578265140866,3023.3431438180064,3021.158793718738
3467.6719474854194,2994.5370731239946,3046.2706206724697,3040.791041226945,3043.8224411406086,3052.1720452189998,3039.463884682041,3029.5309593241636,3023.6573868684527,3016.6821825406532,3012.328134735477,3009.3717621575297
3509.086029476668,2991.4458387466534,3037.782500000065,3032.054696969744,3034.485277777845,3043.658510101074,3030.223838383891,3019.9966161616703,3011.7318686869557,3005.0920000000656,3000.6515740602163,2999.2403860729714
3550.3392088385763,,3026.9448301976054,3020.2805672736768,3022.16894051277,3033.1297712455603,3019.350894975346,3007.191419890797,2997.1411205778427,2991.0757180040064,2985.840491927267,2985.207148513098
3591.461380057597,,3007.629585835112,2999.5573319953446,3002.7266880411253,3013.803649021724,2997.529592071646,2981.9930665782085,2974.510290794441,2971.900474664403,2970.318808483444,2969.0942561887623
3632.478363435437,,2988.5529125472954,2975.525410235987,2982.441156491681,2992.883019205641,2976.309362932201,2952.723707052039,2944.824729960733,2941.1270070219953,2948.0426020168206,2946.9924302205413
3673.4123799497142,,2982.8140640165248,2964.159730777955,2969.772651198731,2983.7436753144148,2967.415395291258,2942.5998022851404,2933.4738241181785,2927.6082584683436,2922.875312456957,2921.5866464486794
3714.2825535882657,,2978.2706416555634,2957.7717544380275,2961.0029496907778,2978.5572495470715,2961.8463368994608,2935.796939152615,2926.7303457010294,2918.8740998293533,2914.0850856149214,2912.9317163222267
3755.1054346647,,2971.731411576484,2950.197649916133,2952.731164551704,2972.5386474131974,2957.30653505443,2928.7043397448037,2920.9383212596103,2913.8623980330726,2911.766364501558,2910.7534734499873
3795.8955386437224,,2964.34,2945.38,2945.91,2961.9299999999994,2948.96,2924.88,2916.67,2907.33,2904.8500152212323,2903.9590825970085
3836.665895983124,,2951.875454545434,2933.977247474731,2933.52863636362,2950.047247474719,2938.6888383838186,2919.0031313131194,2908.2135858585707,2896.696458585839,2900.0022482099353,2899.14114033329
3877.4286093020687,2869.197607499255,2939.318498610891,2923.2650837760307,2923.2910296167556,2938.570105014806,2923.8063244131886,2906.2738392940164,2892.7141590396905,2884.6887968095257,2875.379374793295,2873.1576409004365
3918.195414822155,2838.8618345834516,2925.319833141446,2910.220995780315,2910.007984924951,2925.1237537912184,2911.2686233024706,2894.8934409087606,2884.184100977861,2873.6787709816554,2863.9762094416633,2855.4031047092185
3958.978245432899,2818.4203223731947,2915.687522664045,2898.99544027065,2898.1906954122396,2911.5938518084517,2899.131689852625,2884.509171885309,2874.127054706056,2862.929444721588,2853.3000229487675,2846.0754800508766
3999.789792886855,2799.5573951953884,2902.3567881146178,2889.0442196005233,2887.1534482049096,2899.484062020192,2889.607135614683,2873.536709964321,2862.9402252555224,2852.2115266422693,2842.6408457359994,2835.401092563177
4040.6440665568284,2777.609290016423,2888.5373410484335,2875.697340178851,2875.9087096914454,2885.409356367492,2876.544872899618,2861.5005981275162,2850.9754036290406,2840.30145132538,2835.2290805624953,2829.3943394255766
4081.5569458409946,2752.1788645999804,2880.0814100141815,2868.5536536260965,2871.0040726776706,2879.7067609140213,2868.49933380845,2855.468034354167,2847.302768460175,2837.4645567405755,2831.757721453371,2827.621534450066
4122.546722745116,2728.327714099267,2873.3223382365804,2864.254271872357,2867.4587773826197,2875.5810340675407,2863.5720316105717,2851.924578652829,2843.6437296758522,2834.801626413504,2830.2464494336737,2827.0547099368796
4163.634630402924,2710.0367287373056,2868.589166666692,2861.550750000017,2864.5658333333445,2872.2950000000046,2860.413333333347,2850.1200000000135,2841.3791666666675,2834.911666666676,2829.226318760503,2825.314455774852
4204.845352375455,2698.4244480185953,2865.948879206384,2858.777058187818,2863.8548289273103,2870.855043832189,2858.1968278859044,2847.7957130652308,2839.6564208902905,2831.931411700459,2828.074424342954,2821.5417094895092
4246.207506539842,2692.646371345994,2866.4094445223764,2859.471455693652,2863.8060318217376,2869.863214375893,2856.826825401279,2846.3023546428017,2837.77523796164,2831.003651083114,2826.0890246529025,2820.670216529692
4287.754096364249,2692.7903377050225,2866.0066782361037,2858.938067501292,2861.296821249646,2869.9924714456947,2856.2244067895367,2846.905129614931,2838.2132519680777,2830.277067557601,2825.0825766837957,2819.6267137046
