dist,z_bed,z_surf_1934,z_surf_1971,z_surf_1985,z_surf_1997,z_surf_2003,z_surf_2008,z_surf_2013,z_surf_2017,z_surf_2020
1121.2196409494636,3028.918003495918,3207.345092709921,3204.4993209720105,3194.569336634856,3194.14358055979,3190.2110263734066,3186.9562888403257,3181.904761027349,3178.5135875543874,3176.472712631996
1163.1979103888343,3022.8047747070127,3205.900000000007,3203.6650000000145,3193.581666666654,3192.8016666666435,3188.961666666657,3185.3766666666625,3179.6683333333312,3177.123333333331,3174.7591666666667
1204.589353893895,3019.2525557383524,3202.9884142970955,3201.592228202324,3192.960297481657,3191.149110312756,3187.6237248130956,3183.058887814759,3177.7773281805416,3174.808378071832,3172.3742976596095
1245.4162585439362,3018.162711441216,3199.79,3199.37,3190.9400000000005,3189.13,3185.54,3180.92,3175.3400000000006,3172.431927325965,3169.9061378909505
1285.700638402272,3018.1878724728485,3194.9876551109182,3194.9156296775773,3187.4126225497503,3186.206800583134,3181.160313299805,3177.4411678275887,3171.4300915275667,3168.5143967276535,3165.5104224428615
1325.4642167035863,3016.5763653951585,3190.42,3190.8400000000006,3184.23,3182.6,3177.27,3173.23,3167.77,3164.9963219361252,3162.056213452309
1364.7284084375656,3013.9171829999555,3186.859641310414,3185.6421394743256,3180.3318667931485,3179.2346906298208,3174.262767584565,3170.0950391261954,3164.7695887304903,3161.12805555556,3158.5708333333373
1403.5143034750567,3014.931264954366,3181.5552783999597,3178.9736450614064,3176.3387099921274,3174.236945066628,3169.294699189502,3165.679027179058,3159.9385844391813,3157.3779340629326,3154.874327385913
1441.8426503928035,3018.557025571062,3177.43,3176.41,3172.57,3170.8300000000004,3166.0500000000006,3162.4500000000003,3156.8900000000003,3154.0125000000116,3151.383333333345
1479.7338411677629,3021.9105731412074,3172.08941266567,3172.1034936488436,3165.0706573730417,3167.772062839162,3162.580238165119,3158.628153222999,3152.864268017924,3148.919761957175,3145.861296521308
1517.2078968862338,3025.4637630200295,3165.6947831905745,3166.4106929697236,3155.2254767463255,3161.050242451499,3156.629323929649,3151.9244538980993,3146.633206083774,3144.3983333333626,3141.0858333333604
1554.284454638665,3027.4272901582453,3160.8099999999995,3162.6799999999994,3151.8999999999996,3156.07,3151.24,3147.64,3141.25,3137.044294615715,3133.415016066914
