xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
2597629.3601,1092740.5383,-0.2474,1.5161,-1.9569,22.5531,627.948,-1.865,11.9828,44.6022,0.6717,-0.3293,-0.6636,-34.7956,0.0554,-0.1343,0.7585,-2.4316,22.5531,0.0018,0.0554,0.6717,-0.3293,-0.6636,1.0641,-0.564,1.4503,1.5361529774081748,0.7702978255194545
2597634.5609,1092711.161,-0.1904,0.6294,-0.7058,10.0,1098.8157,-99.5838,4.4081,94.0612,0.9736,0.0067,-0.2282,-118.3902,0.1077,-0.0778,0.4393,-0.5039,10.0,-0.033,0.1077,0.9736,0.0067,-0.2282,1.1717,-0.7056,1.8708,0.6575686428046884,0.4461359994441157
2597639.7617,1092681.7837,-0.2899,0.6345,-0.4359,11.64,800.8511,-102.9225,-19.7963,99.2106,0.9383,0.1107,-0.3277,-131.2709,0.1639,-0.0985,0.5564,-1.2613,11.64,-0.0478,0.1639,0.9383,0.1107,-0.3277,1.2034,-0.3298,1.5569,0.6975903239007835,0.5650515109262164
2597644.9626,1092652.4064,-0.6138,0.865,-0.4856,16.7285,532.7537,-80.9054,-23.8511,119.5595,0.868,0.1415,-0.476,-130.5108,0.245,-0.0649,0.3669,-3.2553,16.7285,-0.0619,0.245,0.868,0.1415,-0.476,1.0286,-0.0818,1.0646,1.0606485940216015,0.3725957863422505
2597650.1634,1092623.0291,-1.8518,2.6257,-1.5009,28.483,501.504,-119.23,-22.6589,176.2394,0.8494,0.103,-0.5177,-194.8374,0.3885,-0.0098,0.0552,-8.6128,28.483,-0.0663,0.3885,0.8493,0.103,-0.5177,1.0541,-0.2259,1.1623,3.213014741640629,0.05606317864695151
2597655.3642,1092593.6518,-2.9946,1.3768,-2.4662,35.9746,414.6021,-120.937,-21.9629,182.2088,0.8254,0.1116,-0.5534,-203.1112,0.4899,-0.1346,0.7605,-15.0159,35.9746,-0.113,0.4899,0.8254,0.1116,-0.5534,0.9109,-0.0541,0.8327,3.295938015193854,0.772319499948046
2597660.565,1092564.2745,-4.2954,2.3824,-3.3412,36.2775,360.9721,-106.2273,-18.8149,168.212,0.8117,0.1087,-0.5739,-184.8077,0.512,-0.4641,2.6215,-17.7141,36.2775,-0.1916,0.512,0.8116,0.1087,-0.5739,0.6449,0.0761,0.4217,4.91185208653518,2.6622642731329287
2597665.7658,1092534.8972,-3.1067,1.3281,-2.4514,31.6965,348.0416,-92.0345,-5.0069,153.7985,0.8105,0.0563,-0.583,-164.5418,0.4728,-0.8745,4.9396,-15.4805,31.6965,-0.1934,0.4728,0.8105,0.0563,-0.583,0.4957,0.1962,0.2842,3.378673482300413,5.016412902662619
2597670.9667,1092505.5199,-1.9261,3.6041,-2.4738,21.6964,351.786,-53.9975,17.0261,106.8063,0.8095,-0.0846,-0.581,-107.2075,0.3048,-0.803,4.536,-9.8993,21.6964,-0.1348,0.3047,0.8095,-0.0846,-0.581,0.5296,0.0074,0.2805,4.086489694101773,4.606528519395055
2597647.2041,1092473.6124,-7.2492,-0.1857,-4.3282,10.0,498.9239,-15.958,54.7014,97.6965,0.3431,-0.7973,-0.4966,-97.6059,0.1956,-6.0808,-0.5312,-6.9995,10.0,-0.0458,0.1956,0.3431,-0.7973,-0.4966,0.4241,-0.0702,0.1848,7.251578113073044,6.1039579028692525
