   2635955.5078   1095985.6813         7.1664        27.9018       -22.3802        31.9980       874.5530         0.9906        29.0858       196.9787        -0.1167        -0.6030        -0.7892      -173.1049         0.1979
   2635892.2344   1096769.3797        -6.8329        60.3168       -23.3435        49.6930       928.7053       -17.2198         4.6864       370.9817         0.0897        -0.3471        -0.9335      -349.4954         0.3763
   2635655.9469   1096969.7033        -2.3269        45.2002       -20.9408        46.2739       803.2881        69.5998        11.4586       255.6619        -0.2634        -0.4142        -0.8712      -245.8180         0.3060
   2635785.7191   1096014.3063         7.3001        15.5963       -20.2147        27.8672      1281.5635        31.5379        33.3016       208.8003        -0.3906        -0.6502        -0.6516      -170.0322         0.1327
   2636289.8658   1096863.6084       -13.2480        59.4204       -19.5103        58.8662       856.5222        41.2567        28.5224       440.3918        -0.0404        -0.3198        -0.9466      -427.6771         0.4993
   2635586.4661   1096354.3249        -2.8633        17.3121        -7.5423        23.1780       663.3690        -0.1145        -1.9233       147.9364         0.0744        -0.3869        -0.9191      -135.2326         0.2039
   2635879.7475   1096465.7438        -0.0092        50.8997       -14.3812        50.5383       539.8635        26.3496       -17.5122       190.8303        -0.1486        -0.2610        -0.9538      -181.3626         0.3359
   2635768.3060   1097100.6032        -1.6387        61.1842       -19.2607        48.0167       833.9768        -4.3358        -0.7719       375.8774         0.0197        -0.3004        -0.9536      -358.2916         0.4296
   2636535.1442   1096728.3090        -5.3600        29.9823       -12.6104        54.9386       943.8844        21.3991        69.5585       425.6673        -0.0116        -0.3893        -0.9211      -419.3871         0.4443
   2636056.0318   1096126.8354         6.2532        30.5219       -19.8480        41.8330       905.4641        13.8691        58.8496       285.6989        -0.1145        -0.5255        -0.8431      -273.3769         0.3019
   2636256.7585   1097407.4829       -18.0037        54.5050       -24.8523        86.0173       536.4580       -73.6556        38.8633       321.0181         0.2900        -0.3116        -0.9049      -323.9539         0.6039
   2636117.8932   1096659.0841        -5.8641        60.5720       -32.7219        48.8706       882.6107       -25.2910        36.6962       330.9294         0.1134        -0.4641        -0.8785      -310.6211         0.3519
   2636538.5272   1096995.1460       -22.9820        45.1139        -9.8335        62.2494       763.6576       -18.2334       -21.5585       450.5831         0.1390        -0.1424        -0.9800      -441.0309         0.5775
   2635699.2807   1096487.1207         4.9812        29.0781       -15.6895        27.7432      1065.9997        65.7230        -6.6593       256.4083        -0.3518        -0.3977        -0.8474      -237.7488         0.2230
   2635646.5756   1096645.0094         6.6302        12.3368       -12.4915        10.0000      1340.3973        34.2903       -30.9114       175.4832        -0.5488        -0.3552        -0.7567      -140.6355         0.1049
   2635756.3056   1096185.0297         8.4522        22.1749       -23.3070        31.9649      1127.6408        51.4576         3.5336       196.9749        -0.5074        -0.5206        -0.6867      -163.2098         0.1447
   2636031.7631   1097292.4321       -11.6366        61.3350       -27.1616        81.5935       734.4017         7.6500       109.2722       499.0467         0.0209        -0.4012        -0.9157      -500.6795         0.6818
   2635950.7410   1096628.0224       -11.0319        55.8115       -35.2615        55.3529       840.7237       -71.6642        38.3238       302.8324         0.3079        -0.4683        -0.8282      -290.8111         0.3459
   2636245.9883   1096550.4352         3.4499        41.4992        -9.8928        43.5705       698.3270       -21.9828       -11.3707       304.3443         0.0549        -0.2299        -0.9717      -294.3133         0.4215
   2635564.3362   1095956.0020       -15.7018        18.5700       -10.1705        64.1188       920.9266       -48.9462        68.5425       441.6687         0.2280        -0.3095        -0.9232      -440.1034         0.4779
   2636281.8997   1097145.4565       -20.5306        63.8503       -31.6475        52.6031       676.5045       -23.0895         7.5358       256.2366         0.2124        -0.3805        -0.9001      -238.3990         0.3524
   2635754.7513   1096819.0733        -1.1772        50.5269       -20.4060        48.0312       746.0616        26.9018        24.4038       315.7517        -0.0807        -0.3721        -0.9247      -303.2167         0.4064
   2636113.6348   1097131.9795       -15.2545        62.4438       -36.7676        54.8883       805.2019       -53.1266        48.8192       336.3820         0.2370        -0.4510        -0.8605      -324.0673         0.4025
   2635842.9657   1097328.7648         1.1311        51.9234       -36.7882        73.3829       797.0557        89.1773       137.9332       384.3282        -0.2262        -0.5585        -0.7981      -403.9306         0.5068
   2636384.5087   1096973.6190       -20.6987        59.5215       -12.3797        64.6075       726.7050        10.6724       -16.4433       416.3222         0.0519        -0.1863        -0.9811      -404.8494         0.5571
   2635886.9996   1096276.0317         5.6808        41.3056       -15.6019        65.9531       554.6082        16.2964        38.5027       298.4207        -0.0841        -0.3434        -0.9354      -293.7372         0.5296
   2635570.3280   1096205.3356       -14.4135        22.5850        -8.8338        35.6897       660.9569       -26.7855       -27.5180       190.8515         0.3356        -0.1415        -0.9313      -182.8379         0.2766
   2636110.2051   1097402.5599       -16.7704        64.5069       -11.9297        95.6317       632.2753       -38.3705         1.9838       561.6966         0.1074        -0.1524        -0.9825      -556.2729         0.8798
   2635961.3624   1096900.4899        -6.7110        63.1541       -30.2844        47.2860       705.6891        -1.4757        17.5492       266.9059         0.0436        -0.4290        -0.9023      -248.4116         0.3520
   2636141.4457   1096301.4776         1.2377        31.2002        -9.5388        71.7780       875.4900      -119.2568        55.7492       492.0034         0.2277        -0.2947        -0.9281      -500.1956         0.5713
