date,u_bed_elmer,u_surf_elmer,tau_d_elmer,tau_b_elmer,sigma_elmer,u_def_elmer,slope_x,averaged_slope,slopesmooth,gradxmean,gradymean,gradzmean,normalstress,projvector,sigma_plus_tau_b,u_surf_local,altitude,velocity,thickness,slope_y,obs_tau_b,obs_u_def,obs_u_def_2,obs_u_bed,obs_u_bed_2
1983,,,,,,,,,,,,,,,,,1844.37,,270.2199999999998,0.13495357915477546,0.12150649314063583,20.35361387389369,10.678901887206623,,
1984,,,,,,,,,,,,,,,,,1846.1,,271.9499999999998,0.13504820569828693,0.12186116418572297,20.680013060338936,10.841657375528268,,
1985,,,,,,,,,,,,,,,,,1847.82,95.0,273.66999999999985,0.1351428322417984,0.12221378510916223,21.010759897628475,11.005212272792546,73.98924010237153,83.99478772720745
1986,,,,,,,,,,,,,,,,,1848.21,,274.05999999999995,0.13523745878530985,0.12229373985343045,21.086627525695313,11.042539950751854,,
1988,,,,,,,,,,,,,,,,,1848.3,,274.14999999999986,0.1354267118723328,0.12231219094826155,21.104181500663252,11.051166800988593,,
1989,,,,,,,,,,,,,,,,,1846.3,,272.14999999999986,0.13552133841584424,0.12190216661868103,20.71815109645375,10.860586007537318,,
1990,,,,,,,,,,,,,,,,,1849.6,70.0,275.4499999999998,0.1356159649593557,0.12257870676248889,21.359673937119506,11.176312302737857,48.64032606288049,58.823687697262145
1991,,,,,,,,,,,,,,,,,1846.39,,272.24,0.13571059150286718,0.12192061771351219,20.73534066720383,10.869111551048658,,
1992,,,,,,,,,,,,,,,,,1842.8,,268.64999999999986,0.13580521804637866,0.12118462404191513,20.062778350596723,10.532708168383428,,
1993,,,,,,,,,,,,,,,,,1834.8,,260.64999999999986,0.13589984458989013,0.11954452672359306,18.6580674182313,9.809739326162479,,
1994,,,,,,,,,,,,,,,,,1830.7,,256.54999999999995,0.13599447113340157,0.118703976847953,17.986516743068677,9.453191872433687,,
1995,,,,,,,,,,,,,,,,,1827.3,,253.14999999999986,0.13608909767691305,0.11800693548766611,17.453508119331275,9.164550645962484,,
1996,,,,,,,,,,,,,,,,,1825.5,70.8,251.3499999999999,0.13618372422042452,0.11763791359104366,17.179884464906976,9.014288975270722,53.62011553509302,61.785711024729274
