xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
957611.6957,107795.0,-14.3863,3.5884,-4.7843,82.8429,478.2146,-61.0934,81.3898,338.5844,0.2132,-0.544,-0.8116,-332.0851,0.6944,-3.2567,0.0,-43.1782,82.8429,-0.2354,0.6944,0.2132,-0.544,-0.8116,0.1612,-0.1465,0.0475,14.827078007820692,3.2567
957582.6913,107795.0,-17.7095,5.2513,-6.011,83.8334,436.2958,-42.484,126.1282,343.7258,0.164,-0.609,-0.7761,-350.526,0.8034,-9.4735,0.0,-37.942,83.8334,-0.2772,0.8034,0.164,-0.609,-0.7761,0.1718,-0.1636,0.0563,18.471668629011294,9.4735
957553.687,107795.0,-19.6921,6.9087,-8.4652,83.0515,291.9253,-12.6133,140.0503,211.8131,0.1256,-0.6862,-0.7165,-249.4474,0.8545,-16.0724,0.0,-33.3752,83.0515,-0.318,0.8545,0.1256,-0.6862,-0.7165,0.1806,-0.1689,0.0611,20.868850905116936,16.0724
957524.6826,107795.0,-19.4677,7.46,-7.7624,81.2962,327.2393,6.7732,177.4474,237.7825,0.0625,-0.74,-0.6697,-290.1328,0.8866,-21.0509,0.0,-31.295,81.2962,-0.3288,0.8866,0.0625,-0.74,-0.6697,0.1849,-0.1739,0.0644,20.848092077933657,21.0509
957495.6783,107795.0,-20.2173,7.4652,-5.1551,76.2226,414.4015,41.282,206.2103,297.4231,-0.0182,-0.7606,-0.6489,-350.6113,0.8461,-23.9417,0.0,-29.6935,76.2226,-0.2406,0.8461,-0.0183,-0.7606,-0.6489,0.2055,-0.1674,0.0703,21.55152965174398,23.9417
957466.6739,107795.0,-20.3104,7.7382,-3.221,66.5061,396.2697,68.7261,191.856,273.121,-0.0852,-0.7686,-0.634,-326.4844,0.8239,-25.8037,0.0,-27.6752,66.5061,-0.123,0.8239,-0.0852,-0.7686,-0.634,0.2347,-0.144,0.0758,21.73458275191866,25.8037
957437.6696,107795.0,-21.0571,6.9475,-1.7763,54.4147,396.9287,72.2524,165.6434,252.5842,-0.0971,-0.7699,-0.6307,-293.8557,0.7403,-27.3048,0.0,-24.926,54.4147,-0.0514,0.7403,-0.0971,-0.7699,-0.6307,0.2611,-0.13,0.085,22.173615326779707,27.3048
957408.6652,107795.0,-22.1747,5.2181,-1.743,42.4119,419.0214,55.8065,140.0602,234.1677,-0.0511,-0.7744,-0.6306,-258.9857,0.6181,-28.5221,0.0,-21.8983,42.4119,-0.077,0.6181,-0.0511,-0.7744,-0.6306,0.2643,-0.1407,0.0897,22.780383835660015,28.5221
957379.6609,107795.0,-23.781,4.3842,-3.3305,34.9505,360.0191,29.6112,99.9599,180.1794,0.0192,-0.7653,-0.6434,-191.8571,0.5329,-28.8232,0.0,-20.2277,34.9505,-0.1213,0.5329,0.0192,-0.7653,-0.6434,0.2545,-0.1654,0.0921,24.181752844655406,28.8232
957350.6565,107795.0,-22.2885,2.8881,-4.7908,30.117,372.0667,12.8013,77.3349,161.8144,0.0866,-0.7524,-0.653,-162.7445,0.4374,-27.8682,0.0,-19.4466,30.117,-0.1105,0.4374,0.0866,-0.7524,-0.653,0.2819,-0.1864,0.1142,22.474838238794955,27.8682
957321.6522,107795.0,-23.3122,1.7314,-8.0984,27.0972,563.0198,-3.3893,88.5166,202.954,0.1882,-0.7588,-0.6235,-194.3548,0.3452,-27.0776,0.0,-18.8236,27.0972,-0.13,0.3452,0.1882,-0.7588,-0.6235,0.2819,-0.234,0.1342,23.376407226090155,27.0776
957292.6478,107795.0,-22.5522,2.1693,-9.8878,33.2907,503.3846,-18.9007,87.0215,188.8769,0.231,-0.7565,-0.6119,-185.7652,0.369,-26.2569,0.0,-20.8429,33.2907,-0.1677,0.369,0.231,-0.7565,-0.6119,0.2503,-0.3149,0.1618,22.65629244448438,26.2569
957263.6435,107795.0,-22.8779,3.0578,-13.6374,35.1315,360.8019,-22.5897,82.8928,129.1667,0.2702,-0.7952,-0.5428,-142.1299,0.3939,-24.752,0.0,-22.3514,35.1315,-0.184,0.3939,0.2702,-0.7952,-0.5428,0.3136,-0.363,0.2301,23.08134418204451,24.752
957234.6391,107795.0,-20.1763,3.409,-9.7061,40.4552,371.6157,-21.453,100.8435,161.3923,0.209,-0.7846,-0.5836,-177.8068,0.4785,-22.7475,0.0,-21.5032,40.4552,-0.1779,0.4785,0.209,-0.7846,-0.5836,0.3477,-0.3938,0.276,20.46226680233644,22.7475
957205.6348,107795.0,-21.0828,2.4977,-7.1835,40.5459,408.4712,-12.0087,90.4703,181.8233,0.1745,-0.7421,-0.6471,-186.8996,0.4576,-21.7454,0.0,-18.7342,40.5459,-0.1397,0.4576,0.1745,-0.7421,-0.6471,0.3305,-0.417,0.283,21.23023695416516,21.7454
957176.6304,107795.0,-19.1809,2.4684,-5.5886,38.0061,378.5356,-5.7595,84.7273,170.8403,0.1435,-0.7395,-0.6577,-175.8422,0.4645,-21.1207,0.0,-16.1437,38.0061,-0.1371,0.4645,0.1435,-0.7395,-0.6577,0.3088,-0.4369,0.2863,19.339077624592132,21.1207
957147.6261,107795.0,-18.051,2.3183,-5.4334,35.5321,383.6048,-5.0365,86.0619,157.0757,0.1387,-0.7644,-0.6297,-165.3892,0.4311,-19.7497,0.0,-14.7301,35.5321,-0.1463,0.4312,0.1387,-0.7644,-0.6297,0.2753,-0.4709,0.2976,18.19926141056279,19.7497
957118.6217,107795.0,-15.9414,2.8515,-4.2699,33.4015,326.1439,1.994,85.7931,138.2436,0.0866,-0.7815,-0.6179,-152.2901,0.4669,-17.4289,0.0,-13.0371,33.4015,-0.1662,0.4669,0.0866,-0.7815,-0.6179,0.2309,-0.4986,0.302,16.194421453389435,17.4289
957089.6174,107795.0,-13.2591,1.7082,-2.0868,31.0388,559.9697,15.6205,119.1264,207.4458,0.0514,-0.747,-0.6629,-225.6917,0.403,-15.6147,0.0,-10.1854,31.0388,-0.1229,0.403,0.0514,-0.747,-0.6629,0.1712,-0.5422,0.3233,13.368682809087812,15.6147
957060.613,107795.0,-11.5193,2.5306,-1.8005,26.8809,364.4692,20.6512,116.567,152.351,-0.0137,-0.8349,-0.5502,-181.4302,0.4978,-13.8274,0.0,-10.0781,26.8809,-0.2003,0.4978,-0.0137,-0.8349,-0.5502,0.0694,-0.6343,0.4071,11.79399037009951,13.8274
957031.6087,107795.0,-8.2096,2.4834,-2.858,24.7816,389.4789,4.692,134.8856,158.9342,0.0244,-0.8579,-0.5133,-197.1798,0.5063,-12.6003,0.0,-11.982,24.7816,-0.2152,0.5063,0.0244,-0.8579,-0.5133,0.0042,-0.6734,0.4535,8.576992929925966,12.6003
957002.6043,107795.0,-10.1359,3.1064,-5.2764,28.7675,435.6152,-22.8799,172.5982,192.9466,0.1045,-0.8662,-0.4887,-246.1826,0.5651,-12.1021,0.0,-14.6194,28.7675,-0.2607,0.5651,0.1045,-0.8662,-0.4887,0.0029,-0.6484,0.4204,10.601235294530538,12.1021
956944.097,107795.0,-3.283,5.3086,-5.0449,38.7895,469.3138,-16.3034,186.0081,245.7742,0.0634,-0.7998,-0.597,-296.5143,0.6318,-7.2137,0.0,-23.1941,38.7895,-0.2503,0.6318,0.0634,-0.7998,-0.597,-0.0069,-0.5734,0.3288,6.241740379092998,7.2137
956914.5939,107795.0,-0.1262,6.2057,-5.9915,39.9678,398.2715,-0.6741,186.0824,224.5638,0.0069,-0.8469,-0.5318,-277.0068,0.6955,-4.1138,0.0,-26.8852,39.9678,-0.3435,0.6955,0.0069,-0.8469,-0.5318,0.001,-0.538,0.2895,6.206983077953411,4.1138
956885.0909,107795.0,-0.5085,7.1828,-7.5498,37.5923,376.5315,1.1127,206.1412,228.5718,-0.0011,-0.8628,-0.5055,-293.4116,0.7792,0.0057,0.0,-28.9397,37.5923,-0.4152,0.7793,-0.0011,-0.8628,-0.5055,0.0138,-0.5185,0.2691,7.200776908778664,0.0057
956855.5879,107795.0,3.6409,8.0886,-9.718,38.4485,365.5908,-19.2712,229.4233,218.5057,0.0359,-0.8849,-0.4645,-305.1873,0.8348,4.0209,0.0,-30.2206,38.4485,-0.4806,0.8348,0.0359,-0.8849,-0.4645,0.0042,-0.5128,0.263,8.870265090176279,4.0209
956826.0848,107795.0,8.6259,6.6689,-7.8961,38.0235,494.5866,-4.9417,266.2793,279.3289,-0.0167,-0.8834,-0.4684,-365.9699,0.74,8.4272,0.0,-29.6648,38.0235,-0.4225,0.7399,-0.0167,-0.8834,-0.4684,-0.0189,-0.5146,0.2652,10.903227871598391,8.4272
956796.5818,107795.0,7.6848,8.4785,-8.0604,41.6604,405.9572,-24.364,201.3215,244.6444,0.0195,-0.8479,-0.5299,-300.7957,0.741,13.0881,-0.0,-33.0828,41.6604,-0.3621,0.741,0.0195,-0.8479,-0.5299,-0.1106,-0.5051,0.2673,11.442950375231032,13.0881
956767.0788,107795.0,16.7077,11.3397,-10.3034,48.9271,359.682,-25.3002,173.0621,229.4556,0.0073,-0.8254,-0.5646,-272.5631,0.7578,17.9684,-0.0,-40.7464,48.9271,-0.3394,0.7578,0.0073,-0.8254,-0.5646,-0.1732,-0.4461,0.229,20.19247472153921,17.9684
956737.5758,107795.0,21.6233,10.657,-10.2373,51.2408,443.4784,-25.3475,207.6632,296.8926,-0.0249,-0.821,-0.5704,-339.2021,0.7649,25.8393,-0.0,-47.7067,51.2408,-0.4143,0.7649,-0.0249,-0.821,-0.5704,-0.124,-0.3344,0.1272,24.106819613752453,25.8393
956708.0727,107795.0,25.648,13.3573,-14.1658,51.987,412.0607,-22.2072,202.7546,283.6156,-0.0453,-0.8236,-0.5653,-326.3202,0.7919,36.7824,-0.0,-55.4127,51.987,-0.4196,0.7919,-0.0453,-0.8236,-0.5653,-0.1586,-0.2851,0.1065,28.917769057968492,36.7824
956678.5697,107795.0,32.3557,14.2395,-15.5644,56.1607,566.2289,-38.2259,289.2059,424.936,-0.0551,-0.7913,-0.6089,-485.4988,0.8574,48.6321,-0.0,-65.592,56.1607,-0.3118,0.8574,-0.0551,-0.7913,-0.6089,-0.2623,-0.3109,0.1655,35.35045519848365,48.6321
956649.0667,107795.0,40.9721,18.5351,-22.655,62.6948,428.8374,-39.9217,250.7965,328.922,-0.0495,-0.8385,-0.5426,-386.8069,0.902,59.2854,-0.0,-86.7478,62.6948,-0.3354,0.902,-0.0495,-0.8385,-0.5426,-0.3095,-0.3681,0.2313,44.96957760997984,59.2854
956619.5636,107795.0,44.2472,19.9495,-24.8806,68.6082,482.9552,-51.7584,304.4495,396.8242,-0.0489,-0.8453,-0.532,-465.9439,0.9648,74.7519,-0.0,-107.0689,68.6082,-0.3856,0.9648,-0.0489,-0.8453,-0.532,-0.2938,-0.3882,0.237,48.53655589439778,74.7519
956590.0606,107795.0,50.4541,26.6398,-36.4406,74.9591,364.6599,-47.8151,266.2815,312.6138,-0.0473,-0.8489,-0.5264,-388.3523,1.065,90.3196,-0.0,-129.8302,74.9591,-0.3937,1.065,-0.0473,-0.8489,-0.5264,-0.3268,-0.4334,0.2946,57.05519389897821,90.3196
956560.5576,107795.0,62.5316,28.9288,-38.8335,83.119,457.6979,-72.5966,357.9383,433.9672,-0.0428,-0.8517,-0.5223,-528.3943,1.1545,103.8876,-0.0,-157.9711,83.119,-0.3103,1.1545,-0.0428,-0.8517,-0.5223,-0.4341,-0.456,0.3964,68.89903096560937,103.8876
956531.0545,107795.0,59.3596,31.3501,-42.6178,95.1038,490.4093,-73.9064,402.4357,484.6271,-0.048,-0.8512,-0.5226,-592.2802,1.2077,117.7636,-0.0,-191.6577,95.1038,-0.2434,1.2077,-0.048,-0.8512,-0.5226,-0.5079,-0.441,0.4524,67.12965724752362,117.7636
956501.5515,107795.0,66.7667,35.0939,-50.5251,106.8159,452.3189,-69.2491,408.7614,473.2214,-0.0545,-0.8465,-0.5296,-592.8621,1.3107,124.8491,-0.0,-221.2428,106.8159,-0.2976,1.3107,-0.0545,-0.8465,-0.5296,-0.4606,-0.3801,0.3566,75.42793942631603,124.8491
956472.0485,107795.0,63.8274,36.4234,-52.7478,115.7391,496.1096,-58.5234,437.2541,528.0793,-0.0754,-0.8395,-0.5381,-646.8231,1.3038,134.6693,-0.0,-245.2629,115.7391,-0.4016,1.3038,-0.0754,-0.8395,-0.5381,-0.3828,-0.3623,0.2778,73.48878185355912,134.6693
956442.5455,107795.0,66.6806,35.7068,-57.1442,121.4443,457.3348,-29.0478,407.6643,493.6157,-0.1154,-0.8252,-0.5529,-605.9872,1.325,143.6365,-0.0,-259.9994,121.4443,-0.4584,1.325,-0.1154,-0.8252,-0.5529,-0.3601,-0.4003,0.2899,75.63912996987736,143.6365
956413.0424,107795.0,66.1235,35.2829,-62.4285,127.3914,360.9345,-14.4814,358.5569,395.2775,-0.1393,-0.8088,-0.5714,-513.8267,1.4236,149.4242,-0.0,-269.5485,127.3914,-0.4031,1.4236,-0.1393,-0.8088,-0.5714,-0.4203,-0.4777,0.4049,74.94798385987445,149.4242
956383.5394,107795.0,68.7533,35.2711,-62.8062,133.5877,322.5901,-17.0384,335.7174,358.2374,-0.139,-0.7905,-0.5964,-476.6932,1.4777,150.5925,-0.0,-274.8232,133.5877,-0.4304,1.4777,-0.139,-0.7905,-0.5964,-0.376,-0.4945,0.3859,77.27267794052436,150.5925
956354.0364,107795.0,65.6385,34.8799,-46.9313,136.0901,554.7452,-8.3371,431.5987,659.638,-0.1553,-0.7083,-0.6886,-758.6425,1.3676,152.8506,-0.0,-281.4356,136.0901,-0.4249,1.3675,-0.1553,-0.7083,-0.6886,-0.2751,-0.3751,0.2164,74.33047898581039,152.8506
956324.5333,107795.0,61.8196,33.734,-44.9614,133.7883,412.3369,-8.7736,358.9654,498.0926,-0.1353,-0.7368,-0.6624,-593.2535,1.4388,156.5148,-0.0,-274.5631,133.7883,-0.8151,1.4388,-0.1353,-0.7368,-0.6624,-0.0882,-0.2095,0.0517,70.42475204187801,156.5148
