xcoord,ycoord,xvelbed,yvelbed,zvelbed,thickbed,nodearea,load1,load2,load3,normalbed1,normalbed2,normalbed3,normalload,normalstress,xvelsurf,yvelsurf,zvelsurf,thicksurf,projstress,normalstressbis,normalbed1bis,normalbed2bis,normalbed3bis,xgrad,ygrad,zgrad,vel_h_bed,vel_h_surf
936403.6657,341246.0443,-4.9938,4.6753,-1.4258,25.4379,325.2687,27.2011,33.8417,82.258,-0.4051,-0.6429,-0.6501,-86.2483,0.2652,-5.0738,4.455,-2.2023,25.4379,-0.1032,0.2652,-0.4051,-0.6429,-0.65,-0.0447,-0.4033,0.1646,6.840794437051883,6.752071640615197
936425.0671,341227.2529,-5.05,4.7408,-1.8145,25.9877,382.602,29.5012,46.035,103.2934,-0.3811,-0.6701,-0.637,-107.8867,0.282,-5.2023,4.5679,-2.7947,25.9877,-0.1108,0.282,-0.3811,-0.6701,-0.637,-0.016,-0.408,0.1667,6.926592570665608,6.923123261938935
936446.4686,341208.4614,-5.1245,4.7435,-2.2362,25.5714,523.391,27.2537,56.8975,134.844,-0.2875,-0.6526,-0.7011,-139.4985,0.2665,-5.3956,4.7375,-3.1998,25.5714,-0.0849,0.2665,-0.2875,-0.6526,-0.7011,0.0254,-0.4116,0.17,6.982928647780958,7.180278936782331
936836.245,341485.4425,-3.2713,7.1805,-1.6356,38.226,321.0221,-6.8005,-0.2088,89.3849,0.5121,0.0398,-0.858,-80.181,0.2498,-3.3893,7.4136,-1.6651,38.226,0.0536,0.2498,0.5121,0.0399,-0.858,-0.006,-0.1893,0.0359,7.890562967241311,8.151614530263315
936824.22,341511.745,-3.3431,7.3012,-1.4504,38.912,292.426,-8.135,-0.4934,96.37,0.4965,0.0545,-0.8663,-87.5539,0.2994,-3.4319,7.5066,-1.5785,38.912,0.0573,0.2994,0.4965,0.0545,-0.8663,0.0143,-0.2026,0.0412,8.030183002273361,8.253907024555097
936812.195,341538.0475,-3.3262,7.2169,-1.5891,38.2951,356.3351,-3.7919,0.2205,96.0503,0.5017,0.0406,-0.8641,-84.8888,0.2382,-3.4963,7.6476,-1.7279,38.2951,0.037,0.2382,0.5017,0.0406,-0.8641,0.0198,-0.1944,0.0382,7.94652452648326,8.408917852494458
936782.1217,341585.5417,-4.9889,5.9514,-1.7663,41.6928,245.6627,-16.3255,1.552,103.7291,0.4778,0.1456,-0.8663,-97.4376,0.3966,-5.4862,6.4417,-1.0528,41.6928,0.0839,0.3966,0.4778,0.1456,-0.8663,0.0217,-0.1555,0.0247,7.765840918406711,8.461317233740855
936764.0733,341606.7333,-4.9376,5.9277,-1.721,44.7376,402.6684,-13.3801,7.7898,152.4637,0.3935,0.0664,-0.9169,-144.5447,0.359,-5.3236,6.2508,-1.1134,44.7376,0.0506,0.359,0.3935,0.0664,-0.9169,0.025,-0.1519,0.0237,7.714759947658774,8.210555255279633
936746.025,341627.925,-4.9488,5.9106,-0.8545,46.1241,314.3874,-13.8745,-8.8283,152.0158,0.4329,0.2376,-0.8695,-140.2881,0.4462,-5.2522,6.1669,-0.5895,46.1241,0.1258,0.4462,0.4329,0.2376,-0.8695,0.0311,-0.1553,0.0251,7.708814033299805,8.10038643831268
936727.9767,341649.1167,-4.8264,5.7836,-0.7108,43.8685,283.2332,-11.9766,-10.7392,131.5382,0.4234,0.2446,-0.8723,-122.4357,0.4323,-5.3263,6.254,-0.3333,43.8685,0.1312,0.4323,0.4234,0.2446,-0.8723,0.0321,-0.1665,0.0288,7.5328723552174965,8.214742095160382
936709.9283,341670.3083,-4.6111,5.552,-1.2315,43.614,302.0306,-13.3662,0.2555,132.0507,0.446,0.188,-0.8751,-121.4672,0.4022,-5.3993,6.3396,-0.3737,43.614,0.1087,0.4022,0.446,0.188,-0.8751,0.0295,-0.1813,0.0337,7.217128737247244,8.327242559815344
936682.4843,341716.5557,-2.6237,6.8852,-1.4343,47.3779,367.0025,-11.9762,1.8437,118.4027,0.525,0.0239,-0.8508,-106.9756,0.2915,-2.7122,7.2325,-1.8606,47.3779,0.0481,0.2915,0.525,0.0239,-0.8508,-0.0015,-0.1631,0.0266,7.368159928367462,7.724317775053017
936673.0886,341741.6114,-2.6839,7.015,-0.7165,46.6128,263.7115,-17.6508,-7.008,123.9612,0.4842,0.0954,-0.8697,-117.0277,0.4438,-2.7025,7.2069,-1.227,46.6128,0.1276,0.4438,0.4842,0.0954,-0.8697,-0.0212,-0.1411,0.0204,7.510895033882447,7.696941851151014
936663.6929,341766.6671,-2.6697,7.125,-0.7944,46.5593,266.3965,-13.6301,-6.5464,104.8822,0.4844,0.0842,-0.8708,-98.485,0.3697,-2.7681,7.3817,-1.0086,46.5593,0.1124,0.3697,0.4844,0.0842,-0.8708,-0.0294,-0.1067,0.0122,7.6087399147296395,7.8836458888004355
936654.2971,341791.7229,-2.6651,7.0882,-0.7167,46.8335,304.1618,-16.3858,-7.1746,137.9038,0.4926,0.0974,-0.8648,-128.0289,0.4209,-2.79,7.4402,-0.9563,46.8335,0.1367,0.4209,0.4926,0.0974,-0.8648,-0.0304,-0.1005,0.011,7.572670417362689,7.946110749291128
936644.9014,341816.7786,-2.6729,7.0942,-0.8401,47.1343,287.5918,-19.4195,-6.1368,129.7401,0.5044,0.0878,-0.859,-121.7811,0.4235,-2.8108,7.4956,-1.0333,47.1343,0.1069,0.4235,0.5044,0.0878,-0.859,-0.0159,-0.1081,0.0119,7.581033442084265,8.005286753140076
936635.5057,341841.8343,-2.6649,7.0867,-1.1065,47.6194,337.4998,-19.8142,-2.5007,139.0523,0.5234,0.0655,-0.8496,-128.668,0.3812,-2.8181,7.5151,-1.17,47.6194,0.0477,0.3812,0.5234,0.0655,-0.8496,0.0102,-0.1224,0.0151,7.57119600195372,8.026108373302717
936617.4325,341892.925,-2.4273,7.1699,-1.4904,50.0723,296.6251,-13.1208,1.7515,101.0036,0.4998,-0.0119,-0.8661,-94.0546,0.3171,-2.5223,7.5676,-1.5613,50.0723,0.0149,0.3171,0.4998,-0.0119,-0.8661,0.022,-0.1502,0.023,7.5696268930509385,7.976877023622715
936608.755,341918.96,-2.43,7.1691,-1.4533,51.6292,306.8944,-15.3689,5.1238,126.6367,0.4892,-0.0121,-0.8721,-118.0213,0.3846,-2.5157,7.5477,-1.6191,51.6292,0.0137,0.3846,0.4892,-0.0121,-0.8721,0.0268,-0.1507,0.0234,7.569735451784296,7.955911121926891
936600.0775,341944.995,-2.4375,7.2507,-1.5411,52.4194,306.1723,-16.2449,5.1462,122.5308,0.4942,-0.0184,-0.8691,-114.6186,0.3744,-2.5131,7.54,-1.6299,52.4194,0.0107,0.3744,0.4942,-0.0184,-0.8691,0.0306,-0.1587,0.0261,7.649448133035481,7.947784069160409
936591.4,341971.03,-2.4376,7.2604,-1.4414,53.7067,317.9876,-17.4027,6.3163,141.9007,0.488,-0.0089,-0.8728,-132.3964,0.4164,-2.5126,7.5385,-1.5788,53.7067,0.0191,0.4164,0.488,-0.0089,-0.8728,0.0351,-0.1718,0.0307,7.65867494544585,7.946202930330939
936582.7225,341997.065,-2.4451,7.2856,-1.4136,53.1099,270.903,-21.7988,3.8234,127.6642,0.4908,-0.0054,-0.8712,-121.9471,0.4502,-2.529,7.5877,-1.4834,53.1099,0.0311,0.4501,0.4908,-0.0054,-0.8712,0.0315,-0.1808,0.0337,7.6849516179348845,7.998064283937707
936574.045,342023.1,-2.3971,7.1895,-1.5211,53.8572,240.6931,-22.3479,3.7565,109.926,0.4868,-0.0229,-0.8732,-106.9544,0.4444,-2.5431,7.6299,-1.4692,53.8572,0.0148,0.4444,0.4868,-0.0229,-0.8732,0.0303,-0.1634,0.0276,7.5785881706291445,8.04255752979113
936565.3675,342049.135,-2.3308,7.1068,-1.6615,55.5437,249.6891,-26.6324,8.6708,127.984,0.4891,-0.0416,-0.8712,-124.8909,0.5002,-2.5571,7.672,-1.4076,55.5437,-0.0392,0.5002,0.4891,-0.0416,-0.8712,0.0681,-0.1593,0.03,7.479253631212141,8.08692428615478
936552.9289,342103.9033,-1.0259,7.6396,-1.6319,58.1296,315.3308,-30.2154,11.787,146.8182,0.5126,-0.1126,-0.8512,-141.788,0.4496,-1.0464,7.9943,-1.9528,58.1296,-0.0718,0.4496,0.5126,-0.1126,-0.8512,0.0671,-0.1557,0.0288,7.708174814442132,8.06249250852365
