   2635697.9743   1099066.4449         0.7593         1.1242        -4.2483        43.1373         0.0706         0.3593        -0.4499         0.3194        -0.8340        -0.1819         0.7761         0.6355
   2635725.1320   1099090.7380         3.1294         1.3896        -9.7695        58.8443         0.0641         0.5461        -0.4317         0.5066        -0.7463        -0.5410         0.9690         1.2315
   2635770.2220   1099136.9893         4.6538         2.2720       -23.2327       106.8398         0.1193         0.6226        -0.4377         0.3748        -0.8173        -0.3100         0.8779         0.8667
   2635819.1331   1099139.4416         4.3307        -1.6216       -16.0628       106.1003         0.1047         0.5120        -0.2791         0.5628        -0.7781         0.0376         1.1011         1.2139
   2635861.9595   1099112.5604         7.2378        -7.0736        -7.3311       100.0856         0.3701         1.1855         0.3877         0.3967        -0.8321        -0.1700         0.8594         0.7675
   2635907.9050   1099103.6627         6.5617         2.0380        -9.3412        85.2491        -0.1398         0.5669        -0.3737         0.5526        -0.7449        -0.1774         0.4687         0.2511
   2635236.1750   1098028.1579        18.8514        23.5155       -10.6933        33.3563        -0.0059         0.1182        -0.7103         0.3733        -0.5968        -0.9996         0.6737         1.4530
   2635253.8606   1098050.2192        18.7645        23.4072       -11.1289        47.1745         0.0134         0.1208        -0.7199         0.2819        -0.6343        -1.3639         0.7015         2.3524
   2635271.5462   1098072.2806        18.4853        23.0589       -10.5797        51.8777         0.0362         0.2944        -0.7107         0.3133        -0.6299        -1.4651         0.6475         2.5657
   2635296.7380   1098117.7168         7.3600        22.9196       -11.1283        21.1574        -0.0693         0.1856        -0.8018        -0.0441        -0.5960        -0.4656         0.1988         0.2563
   2635304.2442   1098141.0917         5.1027        15.8904        -9.7199        46.7621        -0.0800         0.3828        -0.7943         0.0845        -0.6016        -0.8235         0.2253         0.7288
   2635311.7504   1098164.4666         4.4595        13.8874        -3.8068        41.8629        -0.1907         0.8216        -0.8370         0.2639        -0.4794        -1.0633         0.0544         1.1336
   2635311.9027   1098212.5076         1.7596        -5.9022       -11.1777        45.8991        -0.0164         0.5258        -0.8456        -0.0414        -0.5322        -1.4428         0.2078         2.1248
   2635279.9962   1098224.7701        11.3011         5.7091       -11.2349        15.4206        -0.0014         0.1387        -0.4202        -0.7412        -0.5236        -1.0378        -0.2318         1.1307
   2635239.5064   1098191.2689         6.3679         8.4298        -6.9700        14.1449         0.0093         0.0949         0.1220        -0.7217        -0.6813        -0.5324        -0.4009         0.4442
   2635223.5692   1098170.1713         6.7699         8.9620        -7.5969        10.0000        -0.0002         0.0137         0.2763        -0.7664        -0.5799        -0.4367        -0.7430         0.7427
   2635207.6320   1098149.0737         7.2609         9.6119        -5.7261        16.4651        -0.0088         0.0949         0.3280        -0.6887        -0.6467        -0.2325        -0.5925         0.4051
   2635191.6948   1098127.9761         7.2255         9.5651        -6.3209        11.2357        -0.0019         0.0651         0.3081        -0.6942        -0.6505        -0.3159        -0.5665         0.4207
   2635175.7576   1098106.8785         7.7242        10.2253        -5.9052        22.6300        -0.0051         0.1461         0.3013        -0.6452        -0.7021        -0.2116        -0.6465         0.4627
   2635141.5113   1098069.1391         8.9509         8.1358        -7.7821        10.0000         0.0205         0.0650         0.1217        -0.7365        -0.6654        -0.6431        -0.1632         0.4402
   2635123.2021   1098052.4974         9.1042         8.2751        -8.6848        10.0000         0.0175         0.0383         0.1166        -0.7770        -0.6185        -0.7962        -0.0258         0.6347
   2635104.8930   1098035.8557        10.8231         9.8375        -7.6859        10.0000         0.0362         0.1033         0.2771        -0.7199        -0.6363        -0.6501        -0.2688         0.4949
   2635064.7633   1098004.0726        11.9692         8.3055       -11.8636        20.5683         0.0142         0.0778        -0.0413        -0.7548        -0.6547        -0.6912        -0.1969         0.5166
   2635042.9428   1097988.9312        12.4322         8.6268       -10.9036        16.1667         0.0335         0.1411         0.0212        -0.7401        -0.6722        -0.6526        -0.1709         0.4551
   2634997.2502   1097965.4319        12.9620         4.5382       -10.2745        14.5978         0.0295         0.1025        -0.1765        -0.6567        -0.7332        -0.7459        -0.0133         0.5565
   2634973.3781   1097957.0740         9.9702         3.4907       -12.9529        25.3304         0.0501         0.1102        -0.2321        -0.6458        -0.7273        -1.0295         0.2014         1.1004
   2634930.6435   1097928.7576         4.6895         4.9619        -9.4996        27.5620        -0.0185         0.1057        -0.1082        -0.5772        -0.8094        -0.1895        -0.4272         0.2185
   2634911.7809   1097908.7992         2.3720         2.5098        -4.7115        13.0029        -0.0059         0.0744         0.0793        -0.7108        -0.6989        -0.3454        -0.3001         0.2094
   2634886.0803   1097914.6081        -0.6012         2.2653        -5.0868        15.3910        -0.0567         0.1506        -0.6751        -0.3883        -0.6272        -0.3860        -0.3617         0.2798
