dist,z_bed,z_surf_1904,z_surf_1949,z_surf_1952,z_surf_1979,z_surf_1998,z_surf_2003,z_surf_2008,z_surf_2011,z_surf_2015,z_surf_2019
3343.6788795541584,2122.151776788288,2424.0397768073785,2405.4845734022424,2407.795009948488,2414.846539684086,2402.785508300388,2397.597836629345,2393.321320649334,2387.474610706963,2381.3140908832697,2377.2304161928414
3403.0879037610844,2118.3256833179084,2419.0633798617287,2402.1240065045627,2404.9525202297614,2409.9127595700916,2400.475815643519,2395.0236152240373,2389.548557847199,2383.803866955499,2377.4031090825906,2375.90198554748
3460.68579711803,2114.6779192640192,2413.782286708908,2398.445053217775,2401.964983188529,2404.773330327834,2397.3648302639003,2394.3370775956873,2386.0918913161468,2380.4043116870507,2373.6648447768293,2369.8592193520212
3516.4196974046768,2106.9655957173604,2408.8367921687027,2395.507824857809,2398.421526945713,2399.4330803993153,2393.5666147424727,2391.981163860494,2382.4570855610436,2377.0638594051197,2369.4170613771184,2363.744395117637
3570.4157516697824,2101.4037630952507,2404.426862882013,2392.5412020905706,2393.973435495952,2393.699973610659,2389.5538437831033,2385.8856021829088,2377.491493826837,2373.378862670188,2364.434162019961,2359.3661371616977
3623.0202292833137,2099.387249736305,2400.13261081668,2389.074732311882,2388.7709060092075,2387.671851693285,2384.8141870013324,2381.254718401183,2372.440620765003,2368.8898034540452,2358.6996041912744,2354.527415484598
3674.561406857227,2092.474896033302,2395.0153460356278,2384.7501477222804,2383.0841370758244,2381.5618364977004,2378.8515908287122,2373.669250604923,2366.773689001474,2363.391381944651,2352.336997891228,2348.637431737344
3725.3325854749037,2086.526375524272,2389.8443905548706,2378.76422610613,2377.0310881781975,2375.731031367926,2372.0002183526913,2365.312719862969,2360.910064353873,2356.7568010016894,2345.946512720505,2342.0325437301326
3775.597958266211,2089.7378414699688,2384.693671747363,2373.0979718635626,2371.12808498108,2370.3369388431047,2365.3973270136676,2358.5632575736918,2354.3250540038007,2349.758544899556,2340.309831349129,2336.7479349374516
3825.6005695506374,2099.4772845787083,2379.352630021921,2367.248866298634,2365.3902382807883,2365.072977591288,2359.528334265681,2352.362673467662,2348.400130853087,2344.065266548956,2335.2609576765526,2330.820483728785
3875.5717670205054,2112.0280793069223,2373.05383554531,2362.301523982273,2359.9515692148716,2359.196797354525,2354.308024950332,2348.510198058832,2343.2553283455604,2339.7623970223926,2330.561837881425,2324.970885210716
3925.7414654777062,2129.2317086352136,2366.6028939494,2357.3313553044213,2354.8721950942117,2352.00335560267,2349.9680135482968,2344.0264658804927,2337.730726555653,2335.469067763988,2326.097508509335,2322.032517767993
3976.348509180826,2149.602625329368,2359.949992967092,2351.746948751004,2349.916343433886,2343.2274012716134,2345.818461317789,2338.1630292999575,2331.6171749805058,2329.953431486017,2320.861282205734,2318.025502113682
4027.650416748832,2165.6815461740525,2352.17533547551,2345.69523879993,2343.486500387411,2333.8276583204806,2339.7173086479725,2332.862052621183,2324.7703841943944,2323.7682390541495,2314.7593946708707,2310.468057895184
4079.9318146097053,2178.841839761829,2344.5246696511517,2339.124516644428,2334.492720604711,2325.730174939855,2331.9297071428587,2325.6566072323453,2317.832008410959,2317.279597188834,2306.8043269344826,2304.6225511131925
4133.510930821545,2186.533443105083,2335.5691062757464,2329.661616303324,2324.2643603858705,2320.119476139019,2322.9100194599105,2315.202247699469,2309.142750563399,2309.6000057028914,2297.3386824526096,2297.1304895928515
4188.743659614741,2182.445388559885,2324.0425891577643,2318.459917473225,2313.102990693716,2313.383824669876,2313.2582656758823,2296.908082273705,2297.739904778734,2300.04367313048,2286.1175643730467,2283.609488921087
4246.024935822357,2179.7578369565754,2307.5562847888104,2302.1355085239597,2300.362812541744,2299.761757189635,2298.8279197072998,2294.1271713069364,2284.230168446084,2288.744679478397,2272.402581018612,2269.857282725477
4305.787462287652,2180.7585018270324,2283.4713391318646,2281.6923845362767,2284.911186506143,2278.163398763667,2279.159693400239,2261.7401925292656,2267.2609977678267,2275.824803050952,2255.650935552467,2259.243491975944
4368.495548587034,2174.835211363297,2256.0377576872975,2253.9129720965566,2260.0040409437356,2251.1777523509245,2256.109062487791,2259.6492963590604,2243.1186371099216,2259.635693759858,2233.5251582061924,2232.8864757648626
4434.359672096097,2161.986208873564,2228.3002910017685,2213.9031861544236,2214.5835404987947,2216.6039654670994,2221.059580982845,2211.2241358106166,2202.4611511358025,2240.3279944323144,2195.237866913255,2204.1070170275657
4503.037563040906,2137.981683640007,2201.5535301877726,2163.5822810757454,2157.798219939145,2171.3415104822943,2166.269735019456,2158.31897543995,2141.788526422856,2210.9811633462114,,2148.235722221449
4574.0724485915,2056.3748558245484,2167.6813267621305,2112.689359282479,2100.219816590121,2116.9879709816173,2108.172211469135,2093.116815179754,2080.205164296724,2153.633193061325,2060.1662429445996,2059.069501431334
4646.966710594428,1982.6141010217225,2133.3919404751946,2067.4190539683373,2059.5286702396697,2072.2176032231587,2055.7703840909317,2039.830945753809,2026.1736529909226,2084.229502115014,2008.099797731909,1982.6163341090955
4721.195364006431,1978.8874968256653,2100.8436384233805,2037.6363259515804,2027.9279106159631,2052.003820205845,2035.6849159517806,2010.235755753087,1986.3796010404096,2036.8791251339085,,1984.1626820681613
4796.216024504721,1975.8693348060024,2069.0825206331187,2003.8688141353905,2002.5200527458487,2027.689517901309,2016.7186434424343,1976.122560442153,,2013.0557578675039,,1978.521474825568
4871.476770200154,1937.77048090931,2023.401512783476,1960.2393405521207,1965.5427844131057,1983.0152709731858,1974.0805686756346,1954.6472363366,,1995.4642385466605,,1941.2431158805364
4946.422896659632,1815.564974647304,1994.1603985430115,1918.529198752958,1920.7567851499086,1930.3305262518088,1913.2075539557645,1872.0146390265745,1863.0198347839837,1971.295478279816,1835.8241063780733,1815.5673790242517
5020.503355904747,1776.3053080305936,1957.1319235004808,1889.7078812224797,1892.0025266651364,1895.412249152033,1877.7552478991206,1856.275071374258,1840.348480699604,1924.0437042506976,1805.6068567246257,1778.3045650158783
5093.177611339636,1728.3817427878978,1922.739414770542,1874.3124835482,1875.9885484920453,1878.104329369216,1866.271934510371,1848.9400929600738,1825.5981398369356,1872.3267866401504,1787.578116961962,1767.0386880690533
5163.923717921305,1677.9868415030369,1912.367777663847,1862.3903353520159,1861.7405298489452,1866.783448326375,1856.7729397649966,1837.17153369372,1813.2286157639628,1831.094658912005,1776.261096713019,1762.0696985519548
5232.24866840175,1646.136418214782,1901.7266046711766,1851.2931773441283,1848.36445126515,1859.541162439104,1847.7622847875368,1826.3970074712422,1801.7069012404281,1801.8552835617875,1765.1524287738746,1746.059622956815
5297.70248431551,1627.7624470991232,1888.46411324974,1841.6833916559433,1836.5570066073483,1852.1267538119193,1840.4183534717497,1818.5989305137784,1793.0719433225502,1784.47304822488,1757.7995058372305,1742.467595033996
5359.898263098236,1624.1141729689311,1877.1893347703242,1834.101952948084,1827.875528174497,1844.1496389144363,1832.251532050304,1812.7499475466666,1786.4802499741559,1774.2630954024796,1749.8456918652084,1732.1572400353787
5418.542203163719,1622.9437779622222,1869.6142516455898,1828.5834171347133,1821.4932755341426,1835.8205601137274,1825.0424061135454,1807.9918321181278,1781.725079787178,1766.025385384385,1741.7278537043876,1722.5602885288827
5473.667868057442,1629.369044719414,1862.6096295381665,1823.2445352016061,1815.0206613936098,1826.3644974050471,1817.3515611618543,1803.5918026281158,1775.1955398228092,1760.5085986834622,1734.2773583845026,1716.0722694763388
5525.8434328433705,1638.4008625824777,1854.4631020905626,1817.5500777355192,1807.799756747008,1816.586276899409,1810.6957639828388,1794.4878888759772,1764.5976391027675,1756.5554316026391,1726.5530884406614,1708.0792243382255
5575.667802065841,1647.7543930264037,1843.121480777717,1810.8948148581285,1799.9288800584002,1806.315120024501,1800.8801290649492,1785.4372626731902,1753.248397890612,1750.5099303787497,1715.5670766666508,1695.7874368219727
5623.6796765113395,1650.621364812854,1830.8775327641886,1801.975311740966,1790.6313778436422,1794.1587618677443,1786.8027113408818,1769.5877781530369,1740.5447112264048,1742.0745424265067,1699.138438713778,1677.3118364274765
5670.345022858101,1652.5594705498534,1820.3750607971697,1789.2787575064349,1779.9443863390302,1780.115271937305,1770.3361225903748,1751.8825771533732,1724.3959267967914,1729.5454111024242,1680.3746985979567,1659.899559718212
5716.049953457689,1642.612355464969,1809.127166010188,1773.3933010283138,1766.6701533017547,1765.2219293800117,1753.4828149787586,1733.220345570081,1705.934846498986,1713.7735387986982,1661.6210896832865,1642.6162826102438
5761.100031207645,1632.7348557851142,1795.9690507335213,1756.748939083601,1752.3027501111553,1750.8493321826459,1737.6478143542956,1714.7975110146049,1687.699319079995,1695.5149821709517,1644.4562084575957,1632.7370125369407
5805.72573614819,1633.0732677537019,1782.8083179296646,1741.0816431088635,1737.465618632664,1737.2439516352038,1722.1920295922778,1697.1570054252772,1671.3370297722647,1678.1063827434368,,1633.0755489808603
5850.092917770127,1630.714223594521,1770.8433921004305,1725.698149667444,1723.1485670926568,1723.8983986465162,1706.9295151847584,1677.412083969305,1654.8528682305896,1663.4119454895501,1633.6023829121884,1630.7148342872438
5894.316721402602,1631.0752704631968,1758.58052867496,1712.4794114147016,1708.5420043939253,1709.221751212886,1690.6625760278807,1657.441487914462,1636.7748911189826,1650.7907157402178,1639.2328826966248,1631.076606144512
5938.477615382665,1629.2703901913978,1747.798275321777,1699.63986890647,1692.5528729457862,1692.9030063993177,1674.4270538843973,1640.8930744370896,,1638.7905601793923,1644.6791040575745,
