dist,z_bed,z_surf_1934,z_surf_1983,z_surf_1998,z_surf_2003,z_surf_2008,z_surf_2017
6267.7233413443955,2438.4896732629168,2565.696650195924,2563.013614821324,2545.962628499018,2538.1906152843594,2522.1903796426304,2483.4454319597507
6345.016839077684,2422.9762417232205,2553.7478911351327,2550.5628278190297,2533.1422329552615,2523.764419362743,2507.1424632514672,2467.8726579620998
6420.032834358405,2406.6766083268726,2541.481140779857,2537.2086810315814,2519.1964343184427,2509.387793521779,2489.699950256581,2447.887135051975
6492.587014129271,2389.519541317042,2530.2604644674648,2523.732075733569,2506.3754629432638,2496.3794936348154,2476.4146589479087,2432.400981309977
6562.578766316151,2371.2611735356827,2519.67,2510.63,2494.68,2484.72,2464.8,2416.447207461607
6630.016893753254,2342.1743195675745,2513.694583284605,2500.862099435867,2484.8500175467752,2473.8057396458635,2454.343538707035,2399.8215571916594
6695.052090042827,2321.3314961067013,2511.633912173671,2494.4398497108396,2478.7724829067183,2467.308383373599,2447.9351835402704,2393.9442449715334
6758.10528766064,2318.438411747832,2510.665051386296,2492.220740652574,2474.593153179946,2463.9024348766707,2446.248913739962,2393.117852430129
6819.821055083906,2314.4644037923144,2510.0019833593065,2490.583789520575,2472.3986035158277,2460.671354245076,2443.2876415945702,2390.5088203330965
6880.767062741262,2315.9635083975595,2509.2782960099903,2489.78641217121,2469.9825640190347,2458.556531939302,2439.4224440149846,2386.4831050217813
6941.3977464170985,2322.228760027496,2507.7687356837528,2488.5005632062084,2467.9765110559015,2456.229961410334,2435.8454428158584,2383.4670393309266
7002.053321125785,2341.1775137715977,2505.2967013076286,2485.9894539523457,2464.0690493421666,2452.5151269836197,2432.495862320993,2382.5625725946593
7062.966211115442,2360.48497734133,2499.136143394063,2480.6165574469446,2457.9175567032107,2445.4397792198924,2425.2915258583885,2375.76743653692
7124.272557716624,2364.6715472459364,2488.1720532341633,2472.234349999401,2449.3915167355194,2437.040409298232,2416.385051199789,2365.6474558615014
7186.026450434407,2355.6435391031036,2478.2529316010314,2460.7222620653565,2436.878837727136,2424.7155081872033,2404.148691575011,
7248.215056698555,,2453.592499999971,2441.57409090906,2417.7702272726997,2402.94059090906,2379.5947727272414,2341.242686309514
7310.7735120155285,,2440.072463760155,2422.6675188805507,2399.1048964933316,2383.5525077569373,2358.369612605073,2320.826736585314
7373.599034894054,,2423.681651112449,2404.466383350306,2381.897429377905,2365.2951663456615,2339.180564202672,2306.8863982069097
7436.564164950294,,2412.01,2390.88,2367.88,2350.92,2321.97,2307.095950000051
